datetime,generationPower,year,month,day,hour,minute,dayofweek,dayofyear,time_idx,date
2024-05-31 21:50:00,2509.0,2024,5,31,21,50,4,152,0.0,2024-05-31
2024-05-31 21:55:00,1019.0,2024,5,31,21,55,4,152,5.0,2024-05-31
2024-05-31 22:00:00,17979.14,2024,5,31,22,0,4,152,10.0,2024-05-31
2024-05-31 22:05:00,1480.03,2024,5,31,22,5,4,152,15.0,2024-05-31
2024-05-31 22:10:00,1611.96,2024,5,31,22,10,4,152,20.0,2024-05-31
2024-05-31 22:15:00,1635.6,2024,5,31,22,15,4,152,25.0,2024-05-31
2024-05-31 22:20:00,1733.19,2024,5,31,22,20,4,152,30.0,2024-05-31
2024-05-31 22:25:00,1923.71,2024,5,31,22,25,4,152,35.0,2024-05-31
2024-05-31 22:30:00,2227.8199999999997,2024,5,31,22,30,4,152,40.0,2024-05-31
2024-05-31 22:35:00,2502.1,2024,5,31,22,35,4,152,45.0,2024-05-31
2024-05-31 22:40:00,2740.92,2024,5,31,22,40,4,152,50.0,2024-05-31
2024-05-31 22:45:00,3375.8599999999997,2024,5,31,22,45,4,152,55.0,2024-05-31
2024-05-31 22:50:00,4421.969999999999,2024,5,31,22,50,4,152,60.0,2024-05-31
2024-05-31 22:55:00,5304.780000000001,2024,5,31,22,55,4,152,65.0,2024-05-31
2024-05-31 23:00:00,6014.1900000000005,2024,5,31,23,0,4,152,70.0,2024-05-31
2024-05-31 23:05:00,6820.35,2024,5,31,23,5,4,152,75.0,2024-05-31
2024-05-31 23:10:00,6310.780000000001,2024,5,31,23,10,4,152,80.0,2024-05-31
2024-05-31 23:15:00,5856.02,2024,5,31,23,15,4,152,85.0,2024-05-31
2024-05-31 23:20:00,5839.9,2024,5,31,23,20,4,152,90.0,2024-05-31
2024-05-31 23:25:00,7207.639999999999,2024,5,31,23,25,4,152,95.0,2024-05-31
2024-05-31 23:30:00,8054.4,2024,5,31,23,30,4,152,100.0,2024-05-31
2024-05-31 23:35:00,8430.4,2024,5,31,23,35,4,152,105.0,2024-05-31
2024-05-31 23:40:00,7757.84,2024,5,31,23,40,4,152,110.0,2024-05-31
2024-05-31 23:45:00,7752.59,2024,5,31,23,45,4,152,115.0,2024-05-31
2024-05-31 23:50:00,8547.75,2024,5,31,23,50,4,152,120.0,2024-05-31
2024-05-31 23:55:00,8272.42,2024,5,31,23,55,4,152,125.0,2024-05-31
2024-06-01 00:00:00,7975.02,2024,6,1,0,0,5,153,130.0,2024-06-01
2024-06-01 00:05:00,5599.860000000001,2024,6,1,0,5,5,153,135.0,2024-06-01
2024-06-01 00:10:00,6295.8099999999995,2024,6,1,0,10,5,153,140.0,2024-06-01
